id,title,category,vdocipherVideoId,orderIndex,folderOrder
spe_005_03,"005 - Les Arbres Binaires:::003 - Les Arbres Binaires - Cours & Exercices (Partie 3).mp4",SPE,66dc593bbadc45caaf215fa10b890b20,3,5
spe_005_04,"005 - Les Arbres Binaires:::004 - Les Arbres Binaires - Cours & Exercices (Partie 4).mp4",SPE,1d99ccd0bc874ab4a1fbfaca7a855d73,4,5
spe_006_01,"006 - Les Algorithmes Gloutons:::Les Algorithmes Gloutons - Cours & Exercices.mp4",SPE,811a06987742495ebdc78448ae712cb9,1,6
spe_007_01,"007 - La Programmation Dynamique:::001 - La Programmation Dynamique - Cours & Exercices (Partie 1).mp4",SPE,4711b9b5e6e04d5e90678909f96831bd,1,7
spe_007_02,"007 - La Programmation Dynamique:::002 - La Programmation Dynamique - Cours & Exercices (Partie 2).mp4",SPE,9d7c985c02ac45e4a3e0305c8265a717,2,7
spe_008_01,"008 - Notion d'Heuristique -",SPE, no video 1,1,8
spe_009_01,"009 - Les Graphes:::001 - Les Graphes - Généralités - Cours & Exercices.mp4",SPE,7514171f73654856a2ffc533f703bce4,1,9
spe_009_02,"009 - Les Graphes:::002 - Les Graphes - Les Parcours - Cours & Exercices.mp4",SPE,8d7e29c8b0614341be9af1b9e78eb081,2,9
spe_009_03,"009 - Les Graphes:::003 - Les Graphes - Algorithme de Dijkstra - Cours & Exercices.mp4",SPE,cbceffedc2bc445d89dd047f5a7c26a6,3,9
spe_009_04,"009 - Les Graphes:::004 - Les Graphes - Algorithme Astar (A*) - Cours & Exercices.mp4",SPE,e2c371521a25457e949d0b73f7228635,4,9
spe_010_01,"010 - Traitement des Images",SPE, no video 2,1,10
spe_011_01,"011 - Intelligence Artificielle",SPE, no video 3,1,11
spe_012_01,"012 - Les Bases de Données:::001 - Les Bases de Données - Algèbre relationnelle - Cours & Exercices (Partie 1).mp4",SPE,9ba76b4034cd4bc19226cc23e9854eca,1,12
spe_012_02,"012 - Les Bases de Données:::002 - Les Bases de Données - Algèbre relationnelle - Cours & Exercices (Partie 2).mp4",SPE,6f2ccf7350e44b59a7e0a974888bc659,2,12
spe_012_03,"012 - Les Bases de Données:::003 - Les Bases de Données - Algèbre relationnelle - Cours & Exercices (Partie 3).mp4",SPE,4170d9ff179546d8a3ce72f561e10175,3,12
spe_012_04,"012 - Les Bases de Données:::004 - Les Bases de Données - Langage SQL - Cours & Exercices (Partie 1).mp4",SPE,4cb547e5488b4a3c904c6bbcc03c2719,4,12
spe_012_05,"012 - Les Bases de Données:::005 - Les Bases de Données - Langage SQL - Cours & Exercices (Partie 2).mp4",SPE,0b92780a9e32404b842607e3dcaaf668,5,12
spe_012_06,"012 - Les Bases de Données:::006 - Les Bases de Données - Langage SQL - Cours & Exercices (Partie 3).mp4",SPE,2462d2edd2ad4e15bc384e5a425fcb7e,6,12
cnc_000_01,"001 - CNC 2024 - Exercices Préliminaires - MP : PSI, TSI.mp4",CNC,3dd305e3d49849d6981ea5ae6378050f,1,
cnc_000_02,"002 - CNC 2023 - Exercices Préliminaires - MP, PSI & TSI.mp4",CNC,1c81009884eb4ecbb702ee11bdc72dbd,2,
cnc_000_03,"003 - CNC 2020 - MP - Partie III.mp4",CNC,04303786f87a4450a74d66a3c5e6c5d6,3,
cnc_000_04,"004 - CNC 2022 - PSI - Partie III.mp4",CNC,94abcbde15c2436e81c0559448b80c91,4,
cnc_000_05,"005 - CNC 2023 - Partie SQL - MP, PSI & TSI.mp4",CNC,8f70d38d890648db8a10a35e7164d5dc,5,
cnc_000_06,"006 - CNC 2018 - TSI - Partie II.mp4",CNC,9d6ee7b723e74133943b304f6121aa05,6,
cnc_000_07,"007 - CNC 2022 - Partie SQL - MP, PSI & TSI.mp4",CNC,218bee8792c546da915e0ad6ace9a9b7,7,
cnc_000_08,"008 - CNC 2020 - PSI & TSI - Partie III.mp4",CNC,8f30fd999c654c928ecc5ca91b809bbb,8,
cnc_000_09,"009 - CNC 2020 - MP, PSI & TSI - Partie SQL.mp4",CNC,63ccf557395c48ca9ecb312e9086d1bb,9,
cnc_000_10,"010 - CNC 2024 - TSI - Partie II.mp4",CNC,0cf6384e88c549649f65bc875b5c319a,10,
cnc_000_11,"011 - CNC 2024 - PSI - Partie II.mp4",CNC,580b7d2d469b476296de7dec8f09c73e,11,
cnc_000_12,"012 - CNC 2022 - MP - Partie III.mp4",CNC,050ba9a6053741d1bc6d053f01aa5b6f,12,
cnc_000_13,"013 - CNC 2021 - TSI & PSI - Partie I.mp4",CNC,cdce1283caa445618bfe3394b7613ab3,13,
cnc_000_14,"014 - CNC 2017 - MP, PSI & TSI - Partie II.mp4",CNC,ba698245ede14cc5948884e5e254d3ab,14,
cnc_000_15,"015 - CNC 2019 - PSI & TSI - Problème - Parties I et II.mp4",CNC,fc7d7eb8773645fb91a0fe80e561b345,15,
cnc_000_16,"016 - CNC 2016 - MP, PSI & TSI - PROBLEME I.mp4",CNC,ef5401b0ed8c4c549529f5f6ee4a91df,16,
cnc_000_17,"017 - CNC 2017 - MP, PSI & TSI - Partie I.mp4",CNC,2abfa93936274f25bd78d0027c50e4cb,17,
cnc_000_18,"018 - CNC 2016 - MP, PSI & TSI - PROBLEME II.mp4",CNC,1ae0cd7949a24c8bb914a2ecbc8a8a23,18,
cnc_000_19,"019 - CNC 2021 - Partie SQL - MP, PSI & TSI.mp4",CNC,f38673b3cb504abf91e55cd8487f35e9,19,
cnc_000_20,"020 - CNC 2022 PSI & TSI Partie II - CNC 2018 TSI Partie III.mp4",CNC,5dd904c31b044141b4a43019bf0274,20,
